state,state_code,year,school_year,grade,subject,source,assessment,metric,value,metric_family,comparison_role,jurisdiction_of_measure,jurisdiction_of_measure_name,source_value_kind,benchmark_label,source_url,source_page_url,notes,detail_order,source_order,metric_order
Alabama,AL,2024,2024,4,Reading,NAEP (National Public),NAEP,Percent Below Basic,40.67,naep_below_basic,naep_national_public_benchmark,NP,National public,official_cumulative_achievement_level,National Public,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students. Repeated for each state so a simple state filter in Looker Studio still shows the national comparison without a join.,1,1,1
Alabama,AL,2024,2024,4,Reading,NAEP (National Public),NAEP,Percent Below Proficient,69.5,naep_below_proficient,naep_national_public_benchmark,NP,National public,derived_from_below_basic_plus_basic,National Public,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Calculated as the official NAEP Below Basic percentage plus the official discrete Basic percentage. Repeated for each state so a simple state filter in Looker Studio still shows the national comparison without a join.,0,1,2
Alabama,AL,2024,2024,4,Reading,NAEP (National Public),NAEP,Percent Basic,28.83,naep_achievement_level,naep_national_public_benchmark,NP,National public,official_discrete_achievement_level,National Public,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students. Repeated for each state so a simple state filter in Looker Studio still shows the national comparison without a join.,2,1,3
Alabama,AL,2024,2024,4,Reading,NAEP (National Public),NAEP,Percent Proficient,22.23,naep_achievement_level,naep_national_public_benchmark,NP,National public,official_discrete_achievement_level,National Public,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students. Repeated for each state so a simple state filter in Looker Studio still shows the national comparison without a join.,3,1,3
Alabama,AL,2024,2024,4,Reading,NAEP (National Public),NAEP,Percent Advanced,8.27,naep_achievement_level,naep_national_public_benchmark,NP,National public,official_discrete_achievement_level,National Public,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students. Repeated for each state so a simple state filter in Looker Studio still shows the national comparison without a join.,4,1,3
Alabama,AL,2024,2024,4,Reading,NAEP (State),NAEP,Percent Below Basic,42.44,naep_below_basic,naep_state,AL,Alabama,official_cumulative_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,1,2,1
Alabama,AL,2024,2024,4,Reading,NAEP (State),NAEP,Percent Below Proficient,71.96,naep_below_proficient,naep_state,AL,Alabama,derived_from_below_basic_plus_basic,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Calculated as the official NAEP Below Basic percentage plus the official discrete Basic percentage.,0,2,2
Alabama,AL,2024,2024,4,Reading,NAEP (State),NAEP,Percent Basic,29.52,naep_achievement_level,naep_state,AL,Alabama,official_discrete_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,2,2,3
Alabama,AL,2024,2024,4,Reading,NAEP (State),NAEP,Percent Proficient,20.64,naep_achievement_level,naep_state,AL,Alabama,official_discrete_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,3,2,3
Alabama,AL,2024,2024,4,Reading,NAEP (State),NAEP,Percent Advanced,7.41,naep_achievement_level,naep_state,AL,Alabama,official_discrete_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,4,2,3
