state,state_name,year,grade,subject,state_below_basic_pct,state_basic_pct,state_proficient_pct,state_advanced_pct,state_below_proficient_pct,national_public_below_basic_pct,national_public_basic_pct,national_public_proficient_pct,national_public_advanced_pct,national_public_below_proficient_pct,below_basic_difference_from_national_percentage_points,source_page_url
AL,Alabama,2024,4,Reading,42.44,29.52,20.64,7.41,71.96,40.67,28.83,22.23,8.27,69.5,1.77,https://www.nationsreportcard.gov/profiles/
AK,Alaska,2024,4,Reading,52.57,25.7,16.88,4.85,78.27,40.67,28.83,22.23,8.27,69.5,11.9,https://www.nationsreportcard.gov/profiles/
AZ,Arizona,2024,4,Reading,46.53,27.02,18.95,7.5,73.55,40.67,28.83,22.23,8.27,69.5,5.86,https://www.nationsreportcard.gov/profiles/
AR,Arkansas,2024,4,Reading,43.82,28.08,21.23,6.87,71.9,40.67,28.83,22.23,8.27,69.5,3.15,https://www.nationsreportcard.gov/profiles/
CA,California,2024,4,Reading,43.74,27.61,21.29,7.37,71.35,40.67,28.83,22.23,8.27,69.5,3.07,https://www.nationsreportcard.gov/profiles/
CO,Colorado,2024,4,Reading,35.12,29.22,24.65,11.0,64.34,40.67,28.83,22.23,8.27,69.5,-5.55,https://www.nationsreportcard.gov/profiles/
CT,Connecticut,2024,4,Reading,36.79,27.06,24.41,11.75,63.85,40.67,28.83,22.23,8.27,69.5,-3.88,https://www.nationsreportcard.gov/profiles/
DE,Delaware,2024,4,Reading,44.62,28.9,20.04,6.44,73.52,40.67,28.83,22.23,8.27,69.5,3.95,https://www.nationsreportcard.gov/profiles/
DC,District of Columbia,2024,4,Reading,48.01,22.35,18.61,11.02,70.36,40.67,28.83,22.23,8.27,69.5,7.34,https://www.nationsreportcard.gov/profiles/
FL,Florida,2024,4,Reading,37.56,29.45,23.64,9.35,67.01,40.67,28.83,22.23,8.27,69.5,-3.11,https://www.nationsreportcard.gov/profiles/
GA,Georgia,2024,4,Reading,40.59,28.97,21.89,8.55,69.56,40.67,28.83,22.23,8.27,69.5,-0.08,https://www.nationsreportcard.gov/profiles/
HI,Hawaii,2024,4,Reading,39.05,29.35,23.19,8.4,68.41,40.67,28.83,22.23,8.27,69.5,-1.62,https://www.nationsreportcard.gov/profiles/
ID,Idaho,2024,4,Reading,38.6,29.53,24.32,7.55,68.13,40.67,28.83,22.23,8.27,69.5,-2.07,https://www.nationsreportcard.gov/profiles/
IL,Illinois,2024,4,Reading,40.68,28.88,21.33,9.1,69.57,40.67,28.83,22.23,8.27,69.5,0.01,https://www.nationsreportcard.gov/profiles/
IN,Indiana,2024,4,Reading,34.74,30.79,24.47,10.0,65.54,40.67,28.83,22.23,8.27,69.5,-5.93,https://www.nationsreportcard.gov/profiles/
IA,Iowa,2024,4,Reading,39.48,31.37,22.35,6.81,70.84,40.67,28.83,22.23,8.27,69.5,-1.19,https://www.nationsreportcard.gov/profiles/
