state,state_name,year,grade,subject,metric,state_pct,national_public_pct,difference_from_national_percentage_points,source_page_url
AL,Alabama,2024,4,Reading,Percent Below Basic,42.44,40.67,1.77,https://www.nationsreportcard.gov/profiles/
AK,Alaska,2024,4,Reading,Percent Below Basic,52.57,40.67,11.9,https://www.nationsreportcard.gov/profiles/
AZ,Arizona,2024,4,Reading,Percent Below Basic,46.53,40.67,5.86,https://www.nationsreportcard.gov/profiles/
AR,Arkansas,2024,4,Reading,Percent Below Basic,43.82,40.67,3.15,https://www.nationsreportcard.gov/profiles/
CA,California,2024,4,Reading,Percent Below Basic,43.74,40.67,3.07,https://www.nationsreportcard.gov/profiles/
CO,Colorado,2024,4,Reading,Percent Below Basic,35.12,40.67,-5.55,https://www.nationsreportcard.gov/profiles/
CT,Connecticut,2024,4,Reading,Percent Below Basic,36.79,40.67,-3.88,https://www.nationsreportcard.gov/profiles/
DE,Delaware,2024,4,Reading,Percent Below Basic,44.62,40.67,3.95,https://www.nationsreportcard.gov/profiles/
DC,District of Columbia,2024,4,Reading,Percent Below Basic,48.01,40.67,7.34,https://www.nationsreportcard.gov/profiles/
FL,Florida,2024,4,Reading,Percent Below Basic,37.56,40.67,-3.11,https://www.nationsreportcard.gov/profiles/
GA,Georgia,2024,4,Reading,Percent Below Basic,40.59,40.67,-0.08,https://www.nationsreportcard.gov/profiles/
HI,Hawaii,2024,4,Reading,Percent Below Basic,39.05,40.67,-1.62,https://www.nationsreportcard.gov/profiles/
ID,Idaho,2024,4,Reading,Percent Below Basic,38.6,40.67,-2.07,https://www.nationsreportcard.gov/profiles/
IL,Illinois,2024,4,Reading,Percent Below Basic,40.68,40.67,0.01,https://www.nationsreportcard.gov/profiles/
IN,Indiana,2024,4,Reading,Percent Below Basic,34.74,40.67,-5.93,https://www.nationsreportcard.gov/profiles/
IA,Iowa,2024,4,Reading,Percent Below Basic,39.48,40.67,-1.19,https://www.nationsreportcard.gov/profiles/
KS,Kansas,2024,4,Reading,Percent Below Basic,40.09,40.67,-0.58,https://www.nationsreportcard.gov/profiles/
KY,Kentucky,2024,4,Reading,Percent Below Basic,37.7,40.67,-2.97,https://www.nationsreportcard.gov/profiles/
LA,Louisiana,2024,4,Reading,Percent Below Basic,39.58,40.67,-1.09,https://www.nationsreportcard.gov/profiles/
ME,Maine,2024,4,Reading,Percent Below Basic,44.48,40.67,3.81,https://www.nationsreportcard.gov/profiles/
