state,state_name,status,assessment,school_year,notes,source_page_url
AL,Alabama,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
AK,Alaska,covered_exact_tiers,AK STAR,2024-2025,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate. The published exact bins sum to 28.7 percent proficient or advanced, consistent with the results page's 28.68 percent.",https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AZ,Arizona,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
AR,Arkansas,covered_exact_tiers,ATLAS,2024-2025,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
CA,California,covered_official_proficiency_proxy,CAASPP,2024-2025,California's 2025 CAASPP ELA statewide Grade 3 workbook publishes WithScores and Standard Met/Exceeded only. The public workbook used here does not expose the full statewide performance-level split. The below-basic analog remains a not-met proxy defined here as 100 - Standard Met/Exceeded.,https://www.cde.ca.gov/ta/tg/ca/caaspp2025datasummary.asp
CO,Colorado,covered_exact_tiers,CMAS,2024-2025,Exact tier percentages are reported directly in the Colorado CMAS statewide workbook.,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CT,Connecticut,covered_exact_tiers,Smarter Balanced,2024-2025,"Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students. The saved extract also reports 36945.0 total students, 36719.0 tested, 36713.0 scored tests, and an average VSS of 2420.0.",https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
DE,Delaware,covered_official_proficiency_proxy,Smarter Balanced,2024-2025,"Delaware's public statewide Grade 3 ELA rows expose a proficiency figure but not the full statewide performance-level split, so the below-basic analog is filled as 100 - Met Achievement Standard.",https://education.delaware.gov/educators/academic-support/standards-and-assessments/english-and-language-arts/assessments/
DC,District of Columbia,covered_exact_tiers,DC CAPE,2024-2025,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total. The companion all-tests Meeting/Exceeding row reports 30.4 percent proficient across DC CAPE plus MSAA.",https://osse.dc.gov/node/1794106
FL,Florida,covered_exact_tiers,FAST,2024-2025,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the statewide district workbook.,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
GA,Georgia,covered_exact_tiers,Georgia Milestones,2024-2025,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://gadoe.org/assessment-accountability/georgia-milestones/
HI,Hawaii,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
ID,Idaho,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
IL,Illinois,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
IN,Indiana,covered_exact_tiers,ILEARN,2024-2025,Indiana publishes statewide Grade 3 ILEARN counts by performance level in the statewide summary workbook.,https://secure.in.gov/doe/it/data-center-and-reports/
IA,Iowa,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
KS,Kansas,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
KY,Kentucky,covered_exact_tiers,KSA,2023-2024,Kentucky publishes exact Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
LA,Louisiana,covered_exact_tiers,LEAP,2024-2025,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/resources/library/test-results
ME,Maine,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
MD,Maryland,covered_exact_tiers,MCAP,2024-2025,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance
