state,state_name,assessment,subject,subject_label,grade,school_year,administration_year,tier_rank,tier_id,tier_label,pct_students,is_below_basic_analog,below_basic_analog_label,source_value_kind,notes,source_url,source_page_url
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,1,needs_support,Needs Support,36.3,True,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,2,approaching_proficient,Approaching Proficient,35.0,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,3,proficient,Proficient,18.8,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,4,advanced,Advanced,9.9,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AL,Alabama,ACAP,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,9.0,True,Level 1,reported_exact_tier,Alabama's official 2024-25 state assessment overview reports statewide Grade 3 ACAP ELA percentages for Levels 1 through 4. Published percentages sum to 99% because of rounding.,https://www.alabamaachieves.org/wp-content/uploads/2025/07/SBOE_20250716_2024-2025-Student-Assessment-State-Data-Overview_v1.0.pdf,https://www.alabamaachieves.org/assessment/acap/
AL,Alabama,ACAP,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,25.0,False,Level 1,reported_exact_tier,Alabama's official 2024-25 state assessment overview reports statewide Grade 3 ACAP ELA percentages for Levels 1 through 4. Published percentages sum to 99% because of rounding.,https://www.alabamaachieves.org/wp-content/uploads/2025/07/SBOE_20250716_2024-2025-Student-Assessment-State-Data-Overview_v1.0.pdf,https://www.alabamaachieves.org/assessment/acap/
AL,Alabama,ACAP,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,42.0,False,Level 1,reported_exact_tier,Alabama's official 2024-25 state assessment overview reports statewide Grade 3 ACAP ELA percentages for Levels 1 through 4. Published percentages sum to 99% because of rounding.,https://www.alabamaachieves.org/wp-content/uploads/2025/07/SBOE_20250716_2024-2025-Student-Assessment-State-Data-Overview_v1.0.pdf,https://www.alabamaachieves.org/assessment/acap/
AL,Alabama,ACAP,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Level 4,23.0,False,Level 1,reported_exact_tier,Alabama's official 2024-25 state assessment overview reports statewide Grade 3 ACAP ELA percentages for Levels 1 through 4. Published percentages sum to 99% because of rounding.,https://www.alabamaachieves.org/wp-content/uploads/2025/07/SBOE_20250716_2024-2025-Student-Assessment-State-Data-Overview_v1.0.pdf,https://www.alabamaachieves.org/assessment/acap/
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,29.3,True,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,34.8,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,21.1,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Level 4,14.8,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
